sample_index,roi_name,patch_index,input_times,target_time,average_input_cloud_coverage,maximum_input_cloud_coverage,union_mask_coverage,difficulty_score
87,ROIs2017/32,87,"2,4,11",0,1.0,1.0,1.0,1.0
88,ROIs2017/32,88,"2,4,11",0,1.0,1.0,1.0,1.0
89,ROIs2017/32,89,"2,4,11",0,1.0,1.0,1.0,1.0
90,ROIs2017/32,90,"2,4,11",0,1.0,1.0,1.0,1.0
91,ROIs2017/32,91,"4,14,11",0,1.0,1.0,1.0,1.0
92,ROIs2017/32,92,"4,14,11",0,1.0,1.0,1.0,1.0
93,ROIs2017/32,93,"2,4,11",0,1.0,1.0,1.0,1.0
94,ROIs2017/32,94,"1,4,11",0,1.0,1.0,1.0,1.0
95,ROIs2017/32,95,"1,4,11",0,1.0,1.0,1.0,1.0
96,ROIs2017/32,96,"1,2,4",0,1.0,1.0,1.0,1.0
97,ROIs2017/32,97,"1,2,4",3,1.0,1.0,1.0,1.0
98,ROIs2017/32,98,"6,4,13",0,1.0,1.0,1.0,1.0
99,ROIs2017/32,99,"6,4,13",0,1.0,1.0,1.0,1.0
100,ROIs2017/32,100,"6,4,11",0,1.0,1.0,1.0,1.0
101,ROIs2017/32,101,"2,4,6",0,1.0,1.0,1.0,1.0
102,ROIs2017/32,102,"2,4,6",0,1.0,1.0,1.0,1.0
103,ROIs2017/32,103,"2,4,6",0,1.0,1.0,1.0,1.0
104,ROIs2017/32,104,"1,4,11",0,1.0,1.0,1.0,1.0
105,ROIs2017/32,105,"1,4,11",0,1.0,1.0,1.0,1.0
106,ROIs2017/32,106,"4,14,11",0,1.0,1.0,1.0,1.0
107,ROIs2017/32,107,"2,4,13",0,1.0,1.0,1.0,1.0
108,ROIs2017/32,108,"1,2,4",0,1.0,1.0,1.0,1.0
109,ROIs2017/32,109,"1,2,4",0,1.0,1.0,1.0,1.0
110,ROIs2017/32,110,"1,2,4",0,1.0,1.0,1.0,1.0
111,ROIs2017/32,111,"1,2,4",0,1.0,1.0,1.0,1.0
112,ROIs2017/32,112,"1,4,6",0,1.0,1.0,1.0,1.0
113,ROIs2017/32,113,"1,4,6",0,1.0,1.0,1.0,1.0
114,ROIs2017/32,114,"6,4,13",0,1.0,1.0,1.0,1.0
115,ROIs2017/32,115,"2,4,6",0,1.0,1.0,1.0,1.0
116,ROIs2017/32,116,"1,2,6",0,1.0,1.0,1.0,1.0
117,ROIs2017/32,117,"1,2,6",0,1.0,1.0,1.0,1.0
118,ROIs2017/32,118,"1,2,6",0,1.0,1.0,1.0,1.0
119,ROIs2017/32,119,"1,2,6",0,1.0,1.0,1.0,1.0
120,ROIs2017/32,120,"1,2,4",0,1.0,1.0,1.0,1.0
121,ROIs2017/32,121,"1,2,4",0,1.0,1.0,1.0,1.0
122,ROIs2017/32,122,"1,2,4",0,1.0,1.0,1.0,1.0
123,ROIs2017/32,123,"1,4,11",0,1.0,1.0,1.0,1.0
124,ROIs2017/32,124,"1,2,4",0,1.0,1.0,1.0,1.0
125,ROIs2017/32,125,"1,2,4",0,1.0,1.0,1.0,1.0
126,ROIs2017/32,126,"1,4,6",0,1.0,1.0,1.0,1.0
127,ROIs2017/32,127,"1,4,6",0,1.0,1.0,1.0,1.0
128,ROIs2017/32,128,"6,4,13",0,1.0,1.0,1.0,1.0
129,ROIs2017/32,129,"1,4,6",0,1.0,1.0,1.0,1.0
130,ROIs2017/32,130,"1,2,6",0,1.0,1.0,1.0,1.0
131,ROIs2017/32,131,"1,4,6",0,1.0,1.0,1.0,1.0
132,ROIs2017/32,132,"2,4,6",0,1.0,1.0,1.0,1.0
133,ROIs2017/32,133,"1,2,6",0,1.0,1.0,1.0,1.0
134,ROIs2017/32,134,"1,2,4",0,1.0,1.0,1.0,1.0
135,ROIs2017/32,135,"1,2,4",0,1.0,1.0,1.0,1.0
136,ROIs2017/32,136,"1,2,4",0,1.0,1.0,1.0,1.0
137,ROIs2017/32,137,"1,4,11",0,1.0,1.0,1.0,1.0
138,ROIs2017/32,138,"1,14,11",0,1.0,1.0,1.0,1.0
139,ROIs2017/32,139,"1,2,4",0,1.0,1.0,1.0,1.0
140,ROIs2017/32,140,"1,4,6",0,1.0,1.0,1.0,1.0
141,ROIs2017/32,141,"1,4,6",0,1.0,1.0,1.0,1.0
142,ROIs2017/32,142,"1,4,6",0,1.0,1.0,1.0,1.0
143,ROIs2017/32,143,"1,4,6",0,1.0,1.0,1.0,1.0
144,ROIs2017/32,144,"1,2,6",0,1.0,1.0,1.0,1.0
145,ROIs2017/32,145,"1,2,6",0,1.0,1.0,1.0,1.0
146,ROIs2017/32,146,"1,2,4",0,1.0,1.0,1.0,1.0
147,ROIs2017/32,147,"1,2,4",0,1.0,1.0,1.0,1.0
148,ROIs2017/32,148,"1,2,4",0,1.0,1.0,1.0,1.0
149,ROIs2017/32,149,"1,2,4",0,1.0,1.0,1.0,1.0
150,ROIs2017/32,150,"1,2,4",0,1.0,1.0,1.0,1.0
151,ROIs2017/32,151,"1,4,11",0,1.0,1.0,1.0,1.0
152,ROIs2017/32,152,"1,4,11",0,1.0,1.0,1.0,1.0
153,ROIs2017/32,153,"1,2,4",0,1.0,1.0,1.0,1.0
154,ROIs2017/32,154,"1,4,6",0,1.0,1.0,1.0,1.0
155,ROIs2017/32,155,"1,4,6",0,1.0,1.0,1.0,1.0
156,ROIs2017/32,156,"1,4,6",0,1.0,1.0,1.0,1.0
157,ROIs2017/32,157,"1,2,6",0,1.0,1.0,1.0,1.0
158,ROIs2017/32,158,"1,2,6",0,1.0,1.0,1.0,1.0
159,ROIs2017/32,159,"1,2,4",0,1.0,1.0,1.0,1.0
160,ROIs2017/32,160,"1,2,4",0,1.0,1.0,1.0,1.0
161,ROIs2017/32,161,"1,4,11",0,1.0,1.0,1.0,1.0
162,ROIs2017/32,162,"1,2,4",0,1.0,1.0,1.0,1.0
163,ROIs2017/32,163,"1,2,4",0,1.0,1.0,1.0,1.0
164,ROIs2017/32,164,"1,2,4",0,1.0,1.0,1.0,1.0
165,ROIs2017/32,165,"1,2,4",0,1.0,1.0,1.0,1.0
166,ROIs2017/32,166,"1,2,4",0,1.0,1.0,1.0,1.0
167,ROIs2017/32,167,"1,2,4",0,1.0,1.0,1.0,1.0
168,ROIs2017/32,168,"1,2,4",0,1.0,1.0,1.0,1.0
169,ROIs2017/32,169,"1,4,6",0,1.0,1.0,1.0,1.0
170,ROIs2017/32,170,"1,4,6",0,1.0,1.0,1.0,1.0
171,ROIs2017/32,171,"1,4,6",0,1.0,1.0,1.0,1.0
172,ROIs2017/32,172,"1,2,6",0,1.0,1.0,1.0,1.0
173,ROIs2017/32,173,"1,2,6",0,1.0,1.0,1.0,1.0
174,ROIs2017/32,174,"1,2,4",0,1.0,1.0,1.0,1.0
175,ROIs2017/32,175,"1,2,6",0,1.0,1.0,1.0,1.0
176,ROIs2017/32,176,"1,2,4",0,1.0,1.0,1.0,1.0
177,ROIs2017/32,177,"1,2,6",0,1.0,1.0,1.0,1.0
178,ROIs2017/32,178,"1,2,6",0,1.0,1.0,1.0,1.0
179,ROIs2017/32,179,"1,2,4",0,1.0,1.0,1.0,1.0
180,ROIs2017/32,180,"1,2,4",0,1.0,1.0,1.0,1.0
181,ROIs2017/32,181,"1,2,13",0,1.0,1.0,1.0,1.0
182,ROIs2017/32,182,"1,2,4",0,1.0,1.0,1.0,1.0
183,ROIs2017/32,183,"1,2,6",0,1.0,1.0,1.0,1.0
184,ROIs2017/32,184,"1,4,6",0,1.0,1.0,1.0,1.0
185,ROIs2017/32,185,"1,4,6",0,1.0,1.0,1.0,1.0
186,ROIs2017/32,186,"1,4,6",0,1.0,1.0,1.0,1.0
187,ROIs2017/32,187,"1,4,6",0,1.0,1.0,1.0,1.0
188,ROIs2017/32,188,"1,2,6",0,1.0,1.0,1.0,1.0
189,ROIs2017/32,189,"1,2,6",0,1.0,1.0,1.0,1.0
190,ROIs2017/32,190,"1,2,4",0,1.0,1.0,1.0,1.0
191,ROIs2017/32,191,"1,2,4",0,1.0,1.0,1.0,1.0
192,ROIs2017/32,192,"1,2,4",0,1.0,1.0,1.0,1.0
193,ROIs2017/32,193,"1,2,14",0,1.0,1.0,1.0,1.0
194,ROIs2017/32,194,"1,11,2",0,0.9966583251953125,1.0,1.0,1.0
195,ROIs2017/32,195,"1,2,11",0,1.0,1.0,1.0,1.0
196,ROIs2017/32,196,"1,4,11",0,1.0,1.0,1.0,1.0
197,ROIs2017/32,197,"1,4,11",0,1.0,1.0,1.0,1.0
198,ROIs2017/32,198,"1,4,14",0,1.0,1.0,1.0,1.0
199,ROIs2017/32,199,"6,4,11",3,1.0,1.0,1.0,1.0
200,ROIs2017/32,200,"1,4,6",3,1.0,1.0,1.0,1.0
201,ROIs2017/32,201,"1,4,11",3,1.0,1.0,1.0,1.0
202,ROIs2017/32,202,"1,4,11",3,1.0,1.0,1.0,1.0
203,ROIs2017/32,203,"1,2,4",3,1.0,1.0,1.0,1.0
204,ROIs2017/32,204,"1,2,4",3,1.0,1.0,1.0,1.0
205,ROIs2017/32,205,"1,4,11",3,1.0,1.0,1.0,1.0
206,ROIs2017/32,206,"1,4,11",3,1.0,1.0,1.0,1.0
207,ROIs2017/32,207,"1,4,11",0,1.0,1.0,1.0,1.0
208,ROIs2017/32,208,"1,4,11",0,1.0,1.0,1.0,1.0
209,ROIs2017/32,209,"1,4,11",0,1.0,1.0,1.0,1.0
210,ROIs2017/32,210,"1,4,11",0,1.0,1.0,1.0,1.0
211,ROIs2017/32,211,"1,4,11",3,1.0,1.0,1.0,1.0
212,ROIs2017/32,212,"4,14,11",0,1.0,1.0,1.0,1.0
213,ROIs2017/32,213,"4,11,10",0,1.0,1.0,1.0,1.0
214,ROIs2017/32,214,"1,14,11",0,1.0,1.0,1.0,1.0
215,ROIs2017/32,215,"1,4,11",0,1.0,1.0,1.0,1.0
216,ROIs2017/32,216,"4,14,11",0,1.0,1.0,1.0,1.0
217,ROIs2017/32,217,"1,2,4",0,1.0,1.0,1.0,1.0
218,ROIs2017/32,218,"1,2,4",0,1.0,1.0,1.0,1.0
219,ROIs2017/32,219,"1,4,11",0,1.0,1.0,1.0,1.0
220,ROIs2017/32,220,"1,4,11",3,1.0,1.0,1.0,1.0
221,ROIs2017/32,221,"1,4,11",16,1.0,1.0,1.0,1.0
222,ROIs2017/32,222,"1,9,11",3,1.0,1.0,1.0,1.0
223,ROIs2017/32,223,"1,11,4",3,0.9999237060546875,1.0,1.0,1.0
224,ROIs2017/32,224,"1,11,14",0,1.0,1.0,1.0,1.0
225,ROIs2017/32,225,"7,14,11",0,1.0,1.0,1.0,1.0
226,ROIs2017/32,226,"4,14,11",0,1.0,1.0,1.0,1.0
227,ROIs2017/32,227,"4,14,11",0,1.0,1.0,1.0,1.0
228,ROIs2017/32,228,"11,14,9",0,1.0,1.0,1.0,1.0
229,ROIs2017/32,229,"2,14,11",0,1.0,1.0,1.0,1.0
230,ROIs2017/32,230,"4,14,11",0,1.0,1.0,1.0,1.0
231,ROIs2017/32,231,"4,14,11",0,1.0,1.0,1.0,1.0
232,ROIs2017/32,232,"1,2,4",0,1.0,1.0,1.0,1.0
233,ROIs2017/32,233,"1,4,11",0,1.0,1.0,1.0,1.0
234,ROIs2017/32,234,"1,4,11",0,1.0,1.0,1.0,1.0
235,ROIs2017/32,235,"1,4,11",0,1.0,1.0,1.0,1.0
236,ROIs2017/32,236,"1,4,11",0,1.0,1.0,1.0,1.0
237,ROIs2017/32,237,"1,4,11",3,1.0,1.0,1.0,1.0
238,ROIs2017/140,0,"2,11,10",4,1.0,1.0,1.0,1.0
239,ROIs2017/140,1,"0,2,10",3,1.0,1.0,1.0,1.0
240,ROIs2017/140,2,"0,1,2",3,1.0,1.0,1.0,1.0
241,ROIs2017/140,3,"0,1,2",3,1.0,1.0,1.0,1.0
242,ROIs2017/140,4,"0,1,2",4,1.0,1.0,1.0,1.0
243,ROIs2017/140,5,"0,1,2",4,1.0,1.0,1.0,1.0
244,ROIs2017/140,6,"0,1,2",4,1.0,1.0,1.0,1.0
245,ROIs2017/140,7,"0,1,2",3,1.0,1.0,1.0,1.0
246,ROIs2017/140,8,"0,1,2",3,1.0,1.0,1.0,1.0
247,ROIs2017/140,9,"0,1,2",3,1.0,1.0,1.0,1.0
248,ROIs2017/140,10,"0,1,2",3,1.0,1.0,1.0,1.0
249,ROIs2017/140,11,"0,1,2",4,1.0,1.0,1.0,1.0
250,ROIs2017/140,12,"2,7,10",14,1.0,1.0,1.0,1.0
251,ROIs2017/140,13,"1,2,10",14,1.0,1.0,1.0,1.0
252,ROIs2017/140,14,"1,2,10",13,1.0,1.0,1.0,1.0
253,ROIs2017/140,15,"1,2,9",13,1.0,1.0,1.0,1.0
254,ROIs2017/140,16,"1,2,9",3,1.0,1.0,1.0,1.0
255,ROIs2017/140,17,"1,2,7",3,1.0,1.0,1.0,1.0
