sample_index,roi_name,patch_index,input_times,target_time,input_coverages,average_input_coverage,target_coverage,union_coverage,difficulty_score
177,ROIs2017/32,177,"23,27,7",0,"0.436295,0.402664,0.088028",0.3089955647786458,0.0,0.6649169921875,0.6649169921875
55,ROIs2017/32,55,"2,27,23",0,"0.429916,0.335785,0.192535",0.3194122314453125,0.0,0.6662139892578125,0.6662139892578125
29,ROIs2017/32,29,"23,19,12",0,"0.348389,0.447083,0.227615",0.3410288492838542,0.0,0.669525146484375,0.669525146484375
156,ROIs2017/32,156,"17,22,27",0,"0.318512,0.073593,0.422485",0.2715301513671875,0.0,0.6734466552734375,0.6734466552734375
178,ROIs2017/32,178,"25,27,22",0,"0.090225,0.237579,0.466461",0.2647552490234375,0.0,0.6751556396484375,0.6751556396484375
200,ROIs2017/32,200,"2,20,16",3,"0.435959,0.613052,0.073166",0.3740590413411458,0.0,0.67938232421875,0.67938232421875
201,ROIs2017/32,201,"21,16,25",3,"0.325714,0.073273,0.549652",0.3162129720052083,0.0,0.6852264404296875,0.6852264404296875
104,ROIs2017/32,104,"22,21,26",0,"0.588989,0.077042,0.486099",0.3840433756510417,0.0,0.69183349609375,0.69183349609375
215,ROIs2017/32,215,"13,21,22",0,"0.591812,0.111801,0.332886",0.3454996744791667,0.0,0.692657470703125,0.692657470703125
49,ROIs2017/32,49,"12,19,17",0,"0.170105,0.351257,0.528870",0.3500773111979167,0.0,0.695098876953125,0.695098876953125
218,ROIs2017/32,218,"17,13,6",0,"0.085861,0.325211,0.500412",0.3038279215494792,0.0,0.697052001953125,0.697052001953125
108,ROIs2017/32,108,"6,7,19",0,"0.413727,0.079681,0.469711",0.3210398356119792,0.0,0.6998138427734375,0.6998138427734375
212,ROIs2017/32,212,"2,27,13",0,"0.372818,0.077698,0.418167",0.2895609537760417,0.0,0.7081451416015625,0.7081451416015625
63,ROIs2017/32,63,"17,22,27",0,"0.316238,0.628967,0.161606",0.3689371744791667,0.0,0.7108306884765625,0.7108306884765625
210,ROIs2017/32,210,"27,20,19",0,"0.246002,0.223892,0.378448",0.2827809651692708,0.0,0.716644287109375,0.716644287109375
31,ROIs2017/32,31,"17,26,22",0,"0.660904,0.291321,0.093201",0.3484751383463542,0.0,0.716766357421875,0.716766357421875
1,ROIs2017/32,1,"26,20,19",0,"0.418152,0.352676,0.233444",0.3347574869791667,0.0,0.71820068359375,0.71820068359375
164,ROIs2017/32,164,"27,21,23",0,"0.363373,0.259888,0.472839",0.3653666178385417,0.0,0.719879150390625,0.719879150390625
39,ROIs2017/32,39,"27,17,2",0,"0.132248,0.500458,0.535675",0.3894602457682292,0.0,0.7213592529296875,0.7213592529296875
8,ROIs2017/32,8,"19,26,27",0,"0.116852,0.693024,0.173172",0.3276824951171875,0.0,0.7216339111328125,0.7216339111328125
41,ROIs2017/32,41,"10,20,17",0,"0.691193,0.101425,0.320587",0.3710683186848958,0.0,0.7229461669921875,0.7229461669921875
153,ROIs2017/32,153,"6,27,17",0,"0.277618,0.057480,0.612518",0.3158721923828125,0.0,0.7276611328125,0.7276611328125
109,ROIs2017/32,109,"19,23,22",0,"0.462173,0.304688,0.194199",0.3203531901041667,0.0,0.7357330322265625,0.7357330322265625
155,ROIs2017/32,155,"23,26,27",0,"0.283722,0.448318,0.483551",0.4051971435546875,0.0,0.7381439208984375,0.7381439208984375
51,ROIs2017/32,51,"21,22,23",0,"0.293335,0.063889,0.583038",0.3134206136067708,0.0,0.741607666015625,0.741607666015625
65,ROIs2017/32,65,"6,27,22",0,"0.414169,0.059143,0.472183",0.3151652018229167,0.0,0.7433013916015625,0.7433013916015625
88,ROIs2017/32,88,"27,20,22",0,"0.336487,0.724609,0.156342",0.4058125813802083,0.0,0.7439117431640625,0.7439117431640625
33,ROIs2017/32,33,"27,10,22",0,"0.561264,0.185822,0.137680",0.294921875,0.0,0.747161865234375,0.747161865234375
37,ROIs2017/32,37,"27,26,2",0,"0.134277,0.693130,0.134033",0.3204803466796875,0.0,0.7530059814453125,0.7530059814453125
10,ROIs2017/32,10,"12,17,20",0,"0.064911,0.712509,0.150696",0.3093719482421875,0.0,0.76007080078125,0.76007080078125
129,ROIs2017/32,129,"17,22,23",0,"0.594650,0.108597,0.594070",0.4324391682942708,0.0,0.76336669921875,0.76336669921875
185,ROIs2017/32,185,"19,27,20",0,"0.085266,0.577637,0.523743",0.3955485026041667,0.0,0.7636260986328125,0.7636260986328125
236,ROIs2017/32,236,"24,17,6",0,"0.368805,0.397598,0.315735",0.3607126871744792,0.0,0.7648162841796875,0.7648162841796875
38,ROIs2017/32,38,"2,21,22",0,"0.493805,0.389404,0.095825",0.3263448079427083,0.0,0.7689666748046875,0.7689666748046875
227,ROIs2017/32,227,"19,20,7",0,"0.420685,0.095840,0.638779",0.385101318359375,0.0,0.78045654296875,0.78045654296875
240,ROIs2017/140,2,"27,18,14",3,"0.751419,0.059067,0.072952",0.2944793701171875,0.0,0.782135009765625,0.782135009765625
175,ROIs2017/32,175,"23,26,27",0,"0.394287,0.202896,0.571747",0.3896433512369792,0.0,0.791839599609375,0.791839599609375
199,ROIs2017/32,199,"27,19,7",3,"0.341080,0.489609,0.224335",0.3516743977864583,0.0,0.794647216796875,0.794647216796875
163,ROIs2017/32,163,"26,23,22",0,"0.156494,0.568588,0.423004",0.3826955159505208,0.0,0.80157470703125,0.80157470703125
106,ROIs2017/32,106,"6,21,22",0,"0.605743,0.073715,0.482666",0.3873748779296875,0.0,0.8017730712890625,0.8017730712890625
3,ROIs2017/32,3,"23,26,21",0,"0.284851,0.665039,0.210754",0.3868815104166667,0.0,0.8058929443359375,0.8058929443359375
142,ROIs2017/32,142,"19,9,7",0,"0.506531,0.568024,0.108261",0.3942718505859375,0.0,0.815643310546875,0.815643310546875
61,ROIs2017/32,61,"1,12,17",0,"0.729401,0.087967,0.227615",0.34832763671875,0.0,0.81585693359375,0.81585693359375
138,ROIs2017/32,138,"19,17,21",0,"0.729385,0.150696,0.143509",0.3411966959635417,0.0,0.8186492919921875,0.8186492919921875
219,ROIs2017/32,219,"13,6,22",0,"0.588379,0.525726,0.145813",0.4199727376302083,0.0,0.818817138671875,0.818817138671875
30,ROIs2017/32,30,"26,21,25",0,"0.128006,0.069153,0.807816",0.334991455078125,0.0,0.8210906982421875,0.8210906982421875
60,ROIs2017/32,60,"19,17,6",0,"0.509430,0.154205,0.524902",0.39617919921875,0.0,0.8219146728515625,0.8219146728515625
26,ROIs2017/32,26,"17,9,20",0,"0.323090,0.634628,0.177429",0.3783823649088542,0.0,0.82562255859375,0.82562255859375
237,ROIs2017/32,237,"14,2,17",3,"0.548752,0.567047,0.214233",0.4433441162109375,0.0,0.826080322265625,0.826080322265625
77,ROIs2017/32,77,"12,26,23",0,"0.267120,0.253830,0.787521",0.4361572265625,0.0,0.8261566162109375,0.8261566162109375
64,ROIs2017/32,64,"21,22,17",0,"0.272263,0.430252,0.380310",0.3609415690104167,0.0,0.8290863037109375,0.8290863037109375
208,ROIs2017/32,208,"24,14,22",0,"0.327957,0.696381,0.148727",0.391021728515625,0.0,0.8304595947265625,0.8304595947265625
205,ROIs2017/32,205,"22,13,27",3,"0.381348,0.582428,0.456635",0.4734700520833333,0.0,0.83489990234375,0.83489990234375
166,ROIs2017/32,166,"22,23,27",0,"0.225784,0.705048,0.273621",0.4014841715494792,0.0,0.834930419921875,0.834930419921875
98,ROIs2017/32,98,"19,27,22",0,"0.672363,0.355942,0.132263",0.3868560791015625,0.0,0.8389739990234375,0.8389739990234375
209,ROIs2017/32,209,"2,14,24",0,"0.585052,0.415482,0.553665",0.51806640625,0.0,0.8419036865234375,0.8419036865234375
133,ROIs2017/32,133,"23,17,22",0,"0.739044,0.213364,0.298950",0.4171193440755208,0.0,0.8429412841796875,0.8429412841796875
110,ROIs2017/32,110,"19,7,21",0,"0.771805,0.111984,0.083420",0.3224029541015625,0.0,0.84423828125,0.84423828125
206,ROIs2017/32,206,"13,7,22",3,"0.764771,0.065369,0.126068",0.3187357584635417,0.0,0.8447723388671875,0.8447723388671875
202,ROIs2017/32,202,"25,22,6",3,"0.195511,0.488953,0.673401",0.4526214599609375,0.0,0.84552001953125,0.84552001953125
217,ROIs2017/32,217,"6,25,17",0,"0.569092,0.066940,0.322754",0.3195953369140625,0.0,0.846282958984375,0.846282958984375
233,ROIs2017/32,233,"2,22,24",0,"0.842010,0.095886,0.069809",0.3359018961588542,0.0,0.847412109375,0.847412109375
11,ROIs2017/32,11,"20,2,22",0,"0.153915,0.815277,0.172546",0.3805796305338542,0.0,0.848175048828125,0.848175048828125
207,ROIs2017/32,207,"17,22,24",0,"0.819229,0.122055,0.184982",0.3754221598307292,0.0,0.8502655029296875,0.8502655029296875
43,ROIs2017/32,43,"22,27,2",0,"0.087891,0.778137,0.425354",0.4304606119791667,0.0,0.8504791259765625,0.8504791259765625
238,ROIs2017/140,0,"3,8,6",4,"0.083618,0.405518,0.786636",0.4252573649088542,0.0,0.8518524169921875,0.8518524169921875
179,ROIs2017/32,179,"17,27,13",0,"0.396591,0.179596,0.601807",0.3926645914713542,0.0,0.8538970947265625,0.8538970947265625
79,ROIs2017/32,79,"21,19,17",0,"0.452927,0.696930,0.452637",0.5341644287109375,0.0,0.8561553955078125,0.8561553955078125
87,ROIs2017/32,87,"12,23,17",0,"0.146744,0.804398,0.548096",0.4997456868489583,0.0,0.8621063232421875,0.8621063232421875
57,ROIs2017/32,57,"27,25,21",0,"0.622604,0.848206,0.199203",0.556671142578125,0.0,0.8626708984375,0.8626708984375
113,ROIs2017/32,113,"2,9,25",0,"0.144562,0.642044,0.592361",0.45965576171875,0.0,0.863311767578125,0.863311767578125
128,ROIs2017/32,128,"23,19,26",0,"0.269775,0.654099,0.599792",0.5078887939453125,0.0,0.865631103515625,0.865631103515625
34,ROIs2017/32,34,"23,20,21",0,"0.772263,0.098282,0.119171",0.3299051920572917,0.0,0.8657989501953125,0.8657989501953125
111,ROIs2017/32,111,"21,22,23",0,"0.137115,0.645996,0.493637",0.4255828857421875,0.0,0.86676025390625,0.86676025390625
157,ROIs2017/32,157,"27,17,22",0,"0.211914,0.623123,0.561752",0.4655965169270833,0.0,0.8675384521484375,0.8675384521484375
21,ROIs2017/32,21,"12,17,23",0,"0.158798,0.056931,0.861847",0.35919189453125,0.0,0.8685150146484375,0.8685150146484375
158,ROIs2017/32,158,"17,7,22",0,"0.545670,0.132187,0.692139",0.4566650390625,0.0,0.8690185546875,0.8690185546875
124,ROIs2017/32,124,"25,19,23",0,"0.123871,0.121536,0.815231",0.353546142578125,0.0,0.8708343505859375,0.8708343505859375
81,ROIs2017/32,81,"26,21,6",0,"0.096802,0.095871,0.868668",0.3537801106770833,0.0,0.87322998046875,0.87322998046875
248,ROIs2017/140,10,"6,12,5",3,"0.589920,0.069489,0.680069",0.4464925130208333,0.0,0.876739501953125,0.876739501953125
45,ROIs2017/32,45,"19,26,6",0,"0.573547,0.495651,0.228683",0.4326273600260417,0.0,0.8772735595703125,0.8772735595703125
74,ROIs2017/32,74,"26,6,19",0,"0.078659,0.827530,0.309570",0.4052530924479167,0.0,0.87957763671875,0.87957763671875
193,ROIs2017/32,193,"17,23,19",0,"0.124634,0.118500,0.846588",0.3632405598958333,0.0,0.8805084228515625,0.8805084228515625
93,ROIs2017/32,93,"21,26,17",0,"0.150345,0.755981,0.091141",0.332489013671875,0.0,0.8810272216796875,0.8810272216796875
143,ROIs2017/32,143,"19,27,26",0,"0.714371,0.406403,0.370636",0.4971364339192708,0.0,0.883514404296875,0.883514404296875
189,ROIs2017/32,189,"22,17,7",0,"0.119644,0.275909,0.785934",0.393829345703125,0.0,0.8841400146484375,0.8841400146484375
2,ROIs2017/32,2,"25,6,21",0,"0.740509,0.627960,0.113205",0.4938913981119792,0.0,0.8842010498046875,0.8842010498046875
146,ROIs2017/32,146,"20,17,27",0,"0.542557,0.560181,0.533630",0.5454559326171875,0.0,0.8851165771484375,0.8851165771484375
144,ROIs2017/32,144,"27,17,22",0,"0.704315,0.605759,0.050751",0.4536081949869792,0.0,0.885986328125,0.885986328125
48,ROIs2017/32,48,"19,21,17",0,"0.824341,0.183792,0.528702",0.5122782389322916,0.0,0.886444091796875,0.886444091796875
249,ROIs2017/140,11,"5,12,8",4,"0.367889,0.125443,0.802948",0.4320933024088542,0.0,0.8875579833984375,0.8875579833984375
235,ROIs2017/32,235,"17,24,6",0,"0.201828,0.385452,0.798325",0.4618682861328125,0.0,0.8910064697265625,0.8910064697265625
90,ROIs2017/32,90,"7,25,17",0,"0.060730,0.843124,0.371094",0.4249827067057292,0.0,0.891937255859375,0.891937255859375
119,ROIs2017/32,119,"19,22,26",0,"0.529541,0.475693,0.661652",0.5556284586588541,0.0,0.8921356201171875,0.8921356201171875
214,ROIs2017/32,214,"20,13,22",0,"0.322159,0.777252,0.220245",0.4398854573567708,0.0,0.8936767578125,0.8936767578125
184,ROIs2017/32,184,"26,22,27",0,"0.712906,0.304230,0.421158",0.47943115234375,0.0,0.8977508544921875,0.8977508544921875
147,ROIs2017/32,147,"26,21,20",0,"0.767822,0.053070,0.555481",0.4587910970052083,0.0,0.9006805419921875,0.9006805419921875
172,ROIs2017/32,172,"19,7,26",0,"0.865768,0.146271,0.158539",0.3901926676432292,0.0,0.900787353515625,0.900787353515625
62,ROIs2017/32,62,"22,19,17",0,"0.061203,0.832718,0.364563",0.41949462890625,0.0,0.9062957763671875,0.9062957763671875
159,ROIs2017/32,159,"20,17,26",0,"0.871048,0.216766,0.116089",0.4013010660807292,0.0,0.9077301025390625,0.9077301025390625
188,ROIs2017/32,188,"27,21,7",0,"0.770462,0.197617,0.477493",0.4818572998046875,0.0,0.9080963134765625,0.9080963134765625
36,ROIs2017/32,36,"12,19,6",0,"0.069595,0.127975,0.908890",0.3688201904296875,0.0,0.9088897705078125,0.9088897705078125
190,ROIs2017/32,190,"19,23,27",0,"0.877655,0.113586,0.166580",0.3859405517578125,0.0,0.9104766845703125,0.9104766845703125
234,ROIs2017/32,234,"13,17,6",0,"0.739136,0.159927,0.459885",0.4529825846354167,0.0,0.9108428955078125,0.9108428955078125
6,ROIs2017/32,6,"2,19,17",0,"0.712036,0.202316,0.282074",0.3988087972005208,0.0,0.9116668701171875,0.9116668701171875
150,ROIs2017/32,150,"6,23,22",0,"0.763336,0.206528,0.345581",0.4384816487630208,0.0,0.9119110107421875,0.9119110107421875
17,ROIs2017/32,17,"23,20,25",0,"0.587860,0.095032,0.853622",0.5121714274088541,0.0,0.9138336181640625,0.9138336181640625
255,ROIs2017/140,17,"18,11,0",3,"0.854691,0.452621,0.121017",0.4761098225911458,0.0,0.9147796630859375,0.9147796630859375
58,ROIs2017/32,58,"6,22,25",0,"0.233444,0.387329,0.772034",0.4642690022786458,0.0,0.9227142333984375,0.9227142333984375
70,ROIs2017/32,70,"2,26,25",0,"0.529053,0.730499,0.705124",0.6548919677734375,0.0,0.9236907958984375,0.9236907958984375
46,ROIs2017/32,46,"19,12,27",0,"0.644836,0.297302,0.579773",0.5073038736979166,0.0,0.9251708984375,0.9251708984375
56,ROIs2017/32,56,"19,26,25",0,"0.780579,0.173965,0.517548",0.4906972249348958,0.0,0.925506591796875,0.925506591796875
160,ROIs2017/32,160,"19,7,17",0,"0.923126,0.063644,0.087540",0.3581034342447917,0.0,0.9256134033203125,0.9256134033203125
47,ROIs2017/32,47,"21,23,12",0,"0.157898,0.846970,0.059204",0.3546905517578125,0.0,0.9263153076171875,0.9263153076171875
9,ROIs2017/32,9,"26,27,9",0,"0.445663,0.106155,0.851288",0.4677022298177083,0.0,0.926910400390625,0.926910400390625
99,ROIs2017/32,99,"9,21,22",0,"0.926331,0.078430,0.172989",0.3925832112630208,0.0,0.92724609375,0.92724609375
105,ROIs2017/32,105,"7,23,21",0,"0.077133,0.926086,0.051498",0.3515726725260417,0.0,0.92724609375,0.92724609375
94,ROIs2017/32,94,"2,26,23",0,"0.802094,0.124237,0.729080",0.5518035888671875,0.0,0.9294281005859375,0.9294281005859375
223,ROIs2017/32,223,"19,13,14",3,"0.924316,0.122772,0.902206",0.6497650146484375,0.0,0.929473876953125,0.929473876953125
183,ROIs2017/32,183,"27,19,26",0,"0.514954,0.461746,0.707840",0.5615132649739584,0.0,0.936767578125,0.936767578125
85,ROIs2017/32,85,"1,21,19",0,"0.830078,0.218262,0.705246",0.5845286051432291,0.0,0.93731689453125,0.93731689453125
252,ROIs2017/140,14,"0,20,8",13,"0.469437,0.066635,0.870300",0.4687906901041667,0.0,0.9377899169921875,0.9377899169921875
18,ROIs2017/32,18,"20,19,17",0,"0.723770,0.785141,0.113663",0.5408579508463541,0.0,0.93804931640625,0.93804931640625
139,ROIs2017/32,139,"21,27,23",0,"0.143219,0.115219,0.929626",0.3960215250651042,0.0,0.94140625,0.94140625
216,ROIs2017/32,216,"6,21,22",0,"0.913513,0.214783,0.380264",0.5028533935546875,0.0,0.9414520263671875,0.9414520263671875
15,ROIs2017/32,15,"17,25,23",0,"0.509460,0.890396,0.106613",0.5021565755208334,0.0,0.9444580078125,0.9444580078125
114,ROIs2017/32,114,"9,17,23",0,"0.943832,0.234131,0.321381",0.4997812906901042,0.0,0.9449615478515625,0.9449615478515625
19,ROIs2017/32,19,"25,19,26",0,"0.876892,0.438217,0.373352",0.5628204345703125,0.0,0.9468231201171875,0.9468231201171875
136,ROIs2017/32,136,"23,17,21",0,"0.943832,0.122864,0.079071",0.3819224039713542,0.0,0.947509765625,0.947509765625
101,ROIs2017/32,101,"17,23,22",0,"0.092300,0.788574,0.571701",0.48419189453125,0.0,0.950897216796875,0.950897216796875
131,ROIs2017/32,131,"26,22,17",0,"0.890930,0.246552,0.380722",0.5060679117838541,0.0,0.951507568359375,0.951507568359375
92,ROIs2017/32,92,"26,22,25",0,"0.629822,0.189072,0.933060",0.583984375,0.0,0.9531097412109375,0.9531097412109375
229,ROIs2017/32,229,"17,20,22",0,"0.147507,0.931229,0.078094",0.3856099446614583,0.0,0.954559326171875,0.954559326171875
5,ROIs2017/32,5,"21,10,25",0,"0.252670,0.101044,0.892227",0.415313720703125,0.0,0.955841064453125,0.955841064453125
71,ROIs2017/32,71,"22,1,12",0,"0.447586,0.936401,0.167709",0.5172322591145834,0.0,0.956085205078125,0.956085205078125
22,ROIs2017/32,22,"27,17,26",0,"0.193069,0.400238,0.875763",0.4896901448567708,0.0,0.9587860107421875,0.9587860107421875
141,ROIs2017/32,141,"26,23,27",0,"0.664047,0.890564,0.687592",0.7474009195963541,0.0,0.960113525390625,0.960113525390625
224,ROIs2017/32,224,"10,2,6",0,"0.932724,0.360229,0.199341",0.4974314371744792,0.0,0.9606475830078125,0.9606475830078125
25,ROIs2017/32,25,"9,27,17",0,"0.928635,0.203949,0.201019",0.4445343017578125,0.0,0.9608154296875,0.9608154296875
127,ROIs2017/32,127,"19,23,27",0,"0.918701,0.492401,0.365158",0.5920867919921875,0.0,0.962310791015625,0.962310791015625
148,ROIs2017/32,148,"22,6,20",0,"0.176559,0.926697,0.515823",0.5396931966145834,0.0,0.9627685546875,0.9627685546875
24,ROIs2017/32,24,"25,26,17",0,"0.925278,0.476212,0.516235",0.6392415364583334,0.0,0.964111328125,0.964111328125
96,ROIs2017/32,96,"21,19,23",0,"0.074448,0.590836,0.930740",0.5320078531901041,0.0,0.964996337890625,0.964996337890625
117,ROIs2017/32,117,"20,21,22",0,"0.923279,0.185852,0.489090",0.5327402750651041,0.0,0.96527099609375,0.96527099609375
59,ROIs2017/32,59,"20,6,21",0,"0.942886,0.448959,0.100235",0.4973602294921875,0.0,0.9654083251953125,0.9654083251953125
123,ROIs2017/32,123,"21,26,25",0,"0.160248,0.897888,0.483749",0.5139617919921875,0.0,0.965423583984375,0.965423583984375
174,ROIs2017/32,174,"26,23,19",0,"0.138718,0.097595,0.944504",0.3936055501302083,0.0,0.9675750732421875,0.9675750732421875
80,ROIs2017/32,80,"6,23,22",0,"0.608597,0.870209,0.295166",0.5913238525390625,0.0,0.96832275390625,0.96832275390625
247,ROIs2017/140,9,"23,12,6",3,"0.648422,0.330704,0.708221",0.5624491373697916,0.0,0.9685211181640625,0.9685211181640625
0,ROIs2017/32,0,"27,6,25",0,"0.175797,0.841019,0.574661",0.5304921468098959,0.0,0.9694366455078125,0.9694366455078125
44,ROIs2017/32,44,"23,12,25",0,"0.935852,0.416611,0.769424",0.7072957356770834,0.0,0.9707489013671875,0.9707489013671875
91,ROIs2017/32,91,"6,19,25",0,"0.191666,0.797165,0.770798",0.5865427652994791,0.0,0.9712677001953125,0.9712677001953125
145,ROIs2017/32,145,"25,22,19",0,"0.827408,0.081604,0.803665",0.570892333984375,0.0,0.972564697265625,0.972564697265625
